Name                                               Project              Compat              Latest               Kind         Platform
egui-winit->log                                    0.4.29               0.4.32              0.4.32               Normal       ---
egui-winit->objc2                                  0.5.2                ---                 0.6.4                Normal       cfg(target_os = "ios")
egui-winit->objc2-foundation                       0.2.2                ---                 0.3.2                Normal       cfg(target_os = "ios")
egui-winit->objc2-ui-kit                           0.2.2                ---                 0.3.2                Normal       cfg(target_os = "ios")
egui-winit->profiling                              1.0.17               1.0.18              1.0.18               Normal       ---
egui-winit->webbrowser                             1.2.0                1.2.1               1.2.1                Normal       ---
egui_glow->egui                                    0.33.3               ---                 0.34.3               Normal       ---
egui_glow->glow                                    0.16.0               ---                 0.17.0               Normal       ---
egui_glow->log                                     0.4.29               0.4.32              0.4.32               Normal       ---
egui_glow->profiling                               1.0.17               1.0.18              1.0.18               Normal       ---
egui_glow->wasm-bindgen                            0.2.108              0.2.125             0.2.125              Normal       cfg(target_arch = "wasm32")
egui_glow->web-sys                                 0.3.85               0.3.102             0.3.102              Normal       cfg(target_arch = "wasm32")
enumflags2->enumflags2_derive                      0.7.12               ---                 Removed              Normal       ---
enumflags2->serde                                  1.0.228              ---                 Removed              Normal       ---
enumflags2_derive->proc-macro2                     1.0.106              ---                 Removed              Normal       ---
enumflags2_derive->quote                           1.0.40               1.0.45              1.0.45               Normal       ---
enumflags2_derive->quote                           1.0.40               1.0.45              Removed              Normal       ---
enumflags2_derive->syn                             2.0.114              2.0.117             2.0.117              Normal       ---
enumflags2_derive->syn                             2.0.114              2.0.117             Removed              Normal       ---
epaint->ab_glyph                                   0.2.32               ---                 Removed              Normal       ---
epaint->ecolor                                     0.33.3               ---                 0.34.3               Normal       ---
epaint->emath                                      0.33.3               ---                 0.34.3               Normal       ---
epaint->epaint_default_fonts                       0.33.3               ---                 0.34.3               Normal       ---
epaint->log                                        0.4.29               0.4.32              0.4.32               Normal       ---
epaint->profiling                                  1.0.17               1.0.18              1.0.18               Normal       ---
errno->libc                                        0.2.183              0.2.186             0.2.186              Normal       cfg(target_os = "hermit")
errno->libc                                        0.2.183              0.2.186             Removed              Normal       cfg(target_os = "hermit")
errno->windows-sys                                 0.61.2               ---                 Removed              Normal       cfg(windows)
event-listener->concurrent-queue                   2.5.0                ---                 Removed              Normal       ---
event-listener->parking                            2.2.1                ---                 Removed              Normal       cfg(not(target_family = "wasm"))
event-listener->pin-project-lite                   0.2.17               ---                 Removed              Normal       ---
event-listener-strategy->event-listener            5.4.1                ---                 Removed              Normal       ---
event-listener-strategy->pin-project-lite          0.2.17               ---                 Removed              Normal       ---
fax->fax_derive                                    0.2.0                Removed             Removed              Normal       ---
